name,url,institutions,countries,country
Xiaoqin Zeng,https://dl.acm.org/profile/81319505316,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']","['China', 'United States', 'Hong Kong']",China
Huiyi Liu,https://dl.acm.org/profile/81548020271,['Hohai University'],['China'],China
Yuhua Liu,https://dl.acm.org/profile/81549102456,"['East China Normal University', 'Shanghai University']","['China', 'China']",China
Hanfei Lin,https://dl.acm.org/profile/99659194118,['East China Normal University'],['China'],China
Yitao Liang,https://dl.acm.org/profile/99659194271,['East China Normal University'],['China'],China
Sangbong Yoo,https://dl.acm.org/profile/99658989829,['Sejong University'],['South Korea'],South Korea
Hongryeol Ryu,https://dl.acm.org/profile/99658730770,['Yonsei University'],['South Korea'],South Korea
Taekyoung ‘Taekyoung’ Kwon,https://dl.acm.org/profile/81451594353,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']","['South Korea', 'South Korea', 'South Korea', 'United States']",South Korea
Nils Rodrigues,https://dl.acm.org/profile/99659194260,['University of Stuttgart'],['Germany'],Germany
Rudolf Netzel,https://dl.acm.org/profile/81558361656,['University of Stuttgart'],['Germany'],Germany
Kazi Riaz Ullah,https://dl.acm.org/profile/99659194145,['University of Stuttgart'],['Germany'],Germany
Alexander Schultz,https://dl.acm.org/profile/99659194188,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany
Bruno Burger,https://dl.acm.org/profile/81440598602,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany
Daniel Weiskopf,https://dl.acm.org/profile/81548014780,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']","['Germany', 'Germany', 'Canada']",Germany
Kumaripaba Athukorala,https://dl.acm.org/profile/81500651305,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']","['Finland', 'Finland', 'Finland', 'Finland']",Finland
Chao An,https://dl.acm.org/profile/83058808757,"['University of Helsinki', 'Aalto University']","['Finland', 'Finland']",Finland
Aki Reijonen,https://dl.acm.org/profile/84459914957,"['University of Helsinki', 'Helsinki Institute for Information Technology']","['Finland', 'Finland']",Finland
Jaakko Peltonen,https://dl.acm.org/profile/81100125974,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']","['Finland', 'Finland', 'Finland']",Finland
Christian Bors,https://dl.acm.org/profile/99659194168,['Vienna University of Technology'],['Austria'],Austria
Markus Bögl,https://dl.acm.org/profile/81474695092,['Vienna University of Technology'],['Austria'],Austria
Theresia Gschwandtner,https://dl.acm.org/profile/81375620061,['Vienna University of Technology'],['Austria'],Austria
Silvia Miksch,https://dl.acm.org/profile/81100255622,"['Vienna University of Technology', 'Danube University Krems']","['Austria', 'Austria']",Austria
Kazuo Misue,https://dl.acm.org/profile/81100517120,"['University of Tsukuba', 'Fujitsu Ltd.']","['Japan', 'Japan']",Japan
Kosuke Otake,https://dl.acm.org/profile/99659194175,['University of Tsukuba'],['Japan'],Japan
Takahiro Saito,https://dl.acm.org/profile/99659194114,['Fujitsu Ltd.'],['Japan'],Japan
Jieliang Luo,https://dl.acm.org/profile/99659820717,,,
Donghao Ren,https://dl.acm.org/profile/84460132057,"['University of California, Santa Barbara']",['United States'],United States
George Legrady,https://dl.acm.org/profile/81320492170,"['University of California, Santa Barbara']",['United States'],United States
Congmin Li,https://dl.acm.org/profile/99659194233,['Tianjin University'],['China'],China
Boyi Li,https://dl.acm.org/profile/99659194283,['University of Toronto'],['Canada'],Canada
Amontep Wijitcharoen,https://dl.acm.org/profile/99659194157,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Jonathan Hoyin Chan,https://dl.acm.org/profile/81413599918,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand
Simon James Fong,https://dl.acm.org/profile/81339499259,"['University of Macau', 'Chinese Academy of Sciences', 'Nanyang Technological University']","['Macao', 'China', 'Singapore']",Macao
Robert P. Biuk-Aghai,https://dl.acm.org/profile/81100203521,['University of Macau'],['Macao'],Macao
Scarlet Tin,https://dl.acm.org/profile/99659194248,['University of Macau'],['Macao'],Macao
Yihang Bo,https://dl.acm.org/profile/99659194158,,,
Yi Yang,https://dl.acm.org/profile/99659194162,['Chinese Academy of Sciences'],['China'],China
Xianglei Zhu,https://dl.acm.org/profile/99659194208,['China Automotive Technology and Research Center Co. Ltd'],['China'],China
