author_id,author_name,coauthor_id,coauthor_name,self_citation,paper_doi,paper_title,parent_doi,parent_title
321,Tianjian Chen,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,88,Hanbyul Yeon,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
315,Wenqian Ji,91,Yun Jang,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
316,Yan Tang,88,Hanbyul Yeon,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
316,Yan Tang,91,Yun Jang,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
317,Pengju Ma,88,Hanbyul Yeon,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
317,Pengju Ma,91,Yun Jang,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2801040.2801054,Predictive Visual Analytics using Topic Composition.
