name,institutions
John Bailey,['UNSW Sydney']
Ajune Wanis Ismail,['Universiti Teknologi Malaysia']
Mark Nathan Billinghurst,"['University of South Australia', 'The University of Auckland', 'University of Michigan, Ann Arbor', '+ 7']"
Mohd Shahrizal Bin Sunar,"['Universiti Teknologi Malaysia', 'Sunway University']"
Marco Angelini,['Sapienza University of Rome']
Giuseppe Santucci,"['Sapienza University of Rome', 'University of Maryland, College Park (UMD)']"
Zhaopeng Meng,['Tianjin University']
Eriko Koike,['Ochanomizu University']
Aditeya Pandey,['Tata Consultancy Services India']
Kunal Ranjan,['Tata Consultancy Services India']
Geetika Sharma,"['Tata Consultancy Services India', 'Indian Institute of Technology Delhi']"
Lipika Dey,"['Tata Consultancy Services India', 'Indian Institute of Technology Delhi']"
Yan Huang,"['Chinese Academy of Sciences', 'Institute of Automation Chinese Academy of Sciences', '+ 1']"
Cui-Xia Ma,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Hong'an Wang,"['Institute of Software Chinese Academy of Sciences', 'Alibaba Group Holding Limited', '+ 4']"
Katrin Scharnowski,['University of Stuttgart']
Yukari Shirota,"['Gakushuin University', 'Ricoh Co., Ltd.', 'The University of Tokyo']"
Yutaka Takahashi,['Senshu University']
Nobuhide Tanaka,['Gakushuin University']
Michiya Morita,['Gakushuin University']
Makiko Harada,['Tokyo Metropolitan University']
Hidenori Watanave,"['The University of Tokyo', 'Tokyo Metropolitan University']"
Nozomi Tamaki,['Shimane University']
Masahito Hirakawa,"['Shimane University', 'Hiroshima University']"
Harrison Cook,[]
Antoine Trouvé,['Kyushu University']
Kazuaki J Murakami,['Kyushu University']
Sayaka Yagi,['Ochanomizu University']
Masahiro Takatsuka,['The University of Sydney']
Hyoji Ha,['Ajou University']
Sungyun Bae,['Ajou University']
Shinya Tachihara,['Tokyo University of Science']
Takehiko Yamaguchi,"['Tokyo University of Science', ""Universite d'Angers"", 'University of Arkansas - Fayetteville']"
Naoki Ishiura,['Tokyo University of Science']
Mickaël Dinomais,"[""Universite d'Angers""]"
Paul Richard,"[""Universite d'Angers""]"
Sylvie Nguyen,[]
