id,name,institutions,url
81430655874,Anna Wu,"['Pennsylvania State University', 'Tsinghua University']",https://dl.acm.org/profile/81430655874
81487647520,Xin Yan,['Pennsylvania State University'],https://dl.acm.org/profile/81487647520
81316491376,Xiaolong(Luke) Zhang,"['Pennsylvania State University', 'Taiyuan University of Technology', 'Drexel University', 'The University of Arizona', '+ 1']",https://dl.acm.org/profile/81316491376
81100130420,Xiang Cao,"['Lenovo Group, China', 'Microsoft Research Asia', 'Microsoft Research', 'Microsoft Research Cambridge', 'University of Delaware', '+ 2']",https://dl.acm.org/profile/81100130420
81484645699,Fei Lyu,"['Beijing University of Posts and Telecommunications', 'Institute of Software Chinese Academy of Sciences', '+ 1']",https://dl.acm.org/profile/81484645699
81408600520,Philip Trevor Cox,"['Dalhousie University', 'University of Waterloo']",https://dl.acm.org/profile/81408600520
81100654649,Simon Gauvin,['Dalhousie University'],https://dl.acm.org/profile/81100654649
81487652078,Jian Shi,['Chinese Academy of Sciences'],https://dl.acm.org/profile/81487652078
81550008956,Ying Qiao,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']",https://dl.acm.org/profile/81550008956
81487649595,Yi Zhang,['Tianjin University'],https://dl.acm.org/profile/81487649595
81467659085,Lei Fu,['Tianjin University'],https://dl.acm.org/profile/81467659085
81487640674,Qinghui Guo,['Tianjin University'],https://dl.acm.org/profile/81487640674
81418594635,Jie Hao,['The University of Texas at Dallas'],https://dl.acm.org/profile/81418594635
81487651695,Jiansu Pu,['Hong Kong University of Science and Technology'],https://dl.acm.org/profile/81487651695
81100228981,Weiwei Cui,"['Microsoft Research Asia', 'Microsoft Research', 'Hong Kong University of Science and Technology']",https://dl.acm.org/profile/81100228981
88159345257,Siyuan Liu,"['Carnegie Mellon University', 'Pennsylvania State University', 'Penn State Smeal College of Business', '+ 2']",https://dl.acm.org/profile/88159345257
81100358196,Lionel Ming Shuan Ni,"['Hong Kong University of Science and Technology', 'University of Macau', 'Shanghai Jiao Tong University', '+ 5']",https://dl.acm.org/profile/81100358196
81479650318,Yu Su,['Southern Methodist University'],https://dl.acm.org/profile/81479650318
