author_id,author_name,institute_id,institute_name
81554544456,Mai H Elshehaly,60020304,"University of Maryland, College Park (UMD)"
81544964956,Claudio A Delrieux,60013496,South National University
81544964956,Claudio A Delrieux,60020304,"University of Maryland, College Park (UMD)"
81100637283,Denis Gracanin,60027090,Virginia Polytechnic Institute and State University
81100637283,Denis Gracanin,60020304,"University of Maryland, College Park (UMD)"
81375609028,Krešimir  Matković,60006202,VRVis Research Center
81375609028,Krešimir  Matković,60020304,"University of Maryland, College Park (UMD)"
81375609028,Krešimir  Matković,60000251,IEEE
99659068906,Kouhei  Yasuda,60025272,The University of Tokyo
81410594549,Shigeo Takahashi,60031404,The University of Aizu
81410594549,Shigeo Takahashi,60025272,The University of Tokyo
81410594549,Shigeo Takahashi,60000251,IEEE
81440610884,Hsiangyun  Wu,60018163,Vienna University of Technology
81440610884,Hsiangyun  Wu,60025997,Keio University
81440610884,Hsiangyun  Wu,60025272,The University of Tokyo
81100511332,Quang Vinh Nguyen,60107806,"The MARCS Institute for Brain, Behaviour and Development"
81100511332,Quang Vinh Nguyen,60017803,Western Sydney University
81100511332,Quang Vinh Nguyen,60023932,University of Technology Sydney
81100077710,Simeon J Simoff,60017803,Western Sydney University
81100077710,Simeon J Simoff,60107806,"The MARCS Institute for Brain, Behaviour and Development"
81452599675,Yu  Qian,60004876,J. Craig Venter Institute
81452599675,Yu  Qian,60009415,The University of Texas at Dallas
81100079792,Maolin  Huang,60023932,University of Technology Sydney
81100079792,Maolin  Huang,60019533,Tianjin University
81100079792,Maolin  Huang,60026990,Tianjin University of Technology
81100079792,Maolin  Huang,60010571,"The University of Newcastle, Australia"
99658770290,Martin  Röhlig,60003615,University of Rostock
81100094349,H. Schumann,60003615,University of Rostock
81320496219,Ruth West,60024438,University of North Texas
81320496219,Ruth West,60027550,"University of California, Los Angeles"
81320496219,Ruth West,60030612,"University of California, San Diego"
99659067772,Meghan  Kajihara,60024438,University of North Texas
99658988047,Max  Parola,60024438,University of North Texas
99659067444,Kathryn  Hays,60024438,University of North Texas
99659068485,Luke  Hillard,60024438,University of North Texas
99659067913,Anne  Carlew,60024438,University of North Texas
99659068986,Jeremey  Deutsch,60024438,University of North Texas
99659068083,Brandon  Lane,60024438,University of North Texas
99658628447,Michelle  Holloway,60010261,Washington University in St. Louis
87658893257,Brendan John,60013959,University of Florida
87658893257,Brendan John,60001777,Rochester Institute of Technology
99658988516,Anahita  Sanandaji,60013402,Oregon State University
81100553787,Cindy Marie Grimm,60013402,Oregon State University
81100553787,Cindy Marie Grimm,60010261,Washington University in St. Louis
81100553787,Cindy Marie Grimm,60020547,Texas A&M University
81100553787,Cindy Marie Grimm,60022144,University of Central Florida
81100553787,Cindy Marie Grimm,60000251,IEEE
99659036087,Zheng  Huang,60032270,North Dakota State University
